Year,Destination_Country,Region,GDP_India_USD_Billion,Permanent_Migrants,Remittance_USD_Billion,Students,Temporary_Workers,Total_Indian_Migrants,Unemployment_India,Destination_Country_Full,Migrant_YoY_Growth_Pct,Temporary_Worker_Share_Pct,Student_Share_Pct,Remittance_per_Migrant_USD_Th,Migrant_3yr_Moving_Avg,High_Migration_Flag,India_Unemployment_Category
2000,Australia,Oceania,468.4,,12.88,,,173000.0,7.62,Australia,,,,74.45086705202313,173000.0,Normal,Moderate (6-8%)
2001,Australia,Oceania,485.44,,14.27,,,,7.61,Australia,,,,,173000.0,Normal,Moderate (6-8%)
2002,Australia,Oceania,514.94,,15.74,,,,7.68,Australia,,,,,173000.0,Normal,Moderate (6-8%)
2003,Australia,Oceania,607.7,,21.0,,,,7.63,Australia,,,,,,Normal,Moderate (6-8%)
2004,Australia,Oceania,709.15,,18.75,,,,7.6,Australia,,,,,,Normal,Moderate (6-8%)
2005,Australia,Oceania,820.38,,22.13,,,,7.55,Australia,,,,,,Normal,Moderate (6-8%)
2006,Australia,Oceania,940.26,,28.33,,,,7.55,Australia,,,,,,Normal,Moderate (6-8%)
2007,Australia,Oceania,1217.0,,37.22,,,,7.56,Australia,,,,,,Normal,Moderate (6-8%)
2008,Australia,Oceania,1199.0,,49.98,,,,7.63,Australia,,,,,,Normal,Moderate (6-8%)
2009,Australia,Oceania,1342.0,,49.2,,,,7.64,Australia,,,,,,Normal,Moderate (6-8%)
2010,Australia,Oceania,1676.0,17000.0,53.48,,,330000.0,7.63,Australia,,,,162.06060606060606,330000.0,Normal,Moderate (6-8%)
2011,Australia,Oceania,1823.0,,62.5,,,,7.61,Australia,,,,,330000.0,Normal,Moderate (6-8%)
2012,Australia,Oceania,1828.0,,68.82,,,,7.64,Australia,,,,,330000.0,Normal,Moderate (6-8%)
2013,Australia,Oceania,1857.0,,69.97,,,,7.68,Australia,,,,,,Normal,Moderate (6-8%)
2014,Australia,Oceania,2039.0000000000002,,70.39,,,,7.66,Australia,,,,,,Normal,Moderate (6-8%)
2015,Australia,Oceania,2104.0,,68.91,,,448000.0,7.63,Australia,,,,153.81696428571428,448000.0,Normal,Moderate (6-8%)
2016,Australia,Oceania,2295.0,,62.74,,,,7.61,Australia,,,,,448000.0,Normal,Moderate (6-8%)
2017,Australia,Oceania,2651.0,33310.0,68.97,49469.0,16124.0,,7.63,Australia,,,,,448000.0,Normal,Moderate (6-8%)
2018,Australia,Oceania,2703.0,33611.0,78.79,66449.0,22357.0,,7.65,Australia,,,,,,Normal,Moderate (6-8%)
2019,Australia,Oceania,2836.0,25698.0,83.33,55560.0,13434.0,,6.51,Australia,,,,,,Normal,Moderate (6-8%)
2020,Australia,Oceania,2675.0,21791.0,83.15,47031.0,10071.0,721000.0,7.86,Australia,,1.3968099861303744,6.523023578363383,115.3259361997226,721000.0,High,Moderate (6-8%)
2021,Australia,Oceania,3167.0,24324.0,89.38,200325.0,18717.0,,6.38,Australia,,,,,721000.0,Normal,Moderate (6-8%)
2022,Australia,Oceania,3346.0,41145.0,111.22,357038.0,27402.0,,4.82,Australia,,,,,721000.0,Normal,Low (<6%)
2023,Australia,Oceania,3638.0,,119.53,287259.0,,,4.17,Australia,,,,,,Normal,Low (<6%)
2024,Australia,Oceania,3910.0,,137.67,302758.0,,916000.0,4.17,Australia,,,33.05218340611354,150.2947598253275,916000.0,High,Low (<6%)
2025,Australia,Oceania,,,,,,,4.22,Australia,,,,,916000.0,Normal,Low (<6%)
2000,Canada,North America,468.4,26122.0,12.88,,,217000.0,7.62,Canada,,,,59.354838709677416,217000.0,Normal,Moderate (6-8%)
2001,Canada,North America,485.44,,14.27,,,,7.61,Canada,,,,,217000.0,Normal,Moderate (6-8%)
2002,Canada,North America,514.94,,15.74,,,,7.68,Canada,,,,,217000.0,Normal,Moderate (6-8%)
2003,Canada,North America,607.7,,21.0,,,,7.63,Canada,,,,,,Normal,Moderate (6-8%)
2004,Canada,North America,709.15,,18.75,,,,7.6,Canada,,,,,,Normal,Moderate (6-8%)
2005,Canada,North America,820.38,,22.13,,,,7.55,Canada,,,,,,Normal,Moderate (6-8%)
2006,Canada,North America,940.26,,28.33,,,,7.55,Canada,,,,,,Normal,Moderate (6-8%)
2007,Canada,North America,1217.0,,37.22,,,,7.56,Canada,,,,,,Normal,Moderate (6-8%)
2008,Canada,North America,1199.0,,49.98,,,,7.63,Canada,,,,,,Normal,Moderate (6-8%)
2009,Canada,North America,1342.0,,49.2,,,,7.64,Canada,,,,,,Normal,Moderate (6-8%)
2010,Canada,North America,1676.0,30311.0,53.48,,,540000.0,7.63,Canada,,,,99.03703703703704,540000.0,Normal,Moderate (6-8%)
2011,Canada,North America,1823.0,,62.5,,,,7.61,Canada,,,,,540000.0,Normal,Moderate (6-8%)
2012,Canada,North America,1828.0,,68.82,,,,7.64,Canada,,,,,540000.0,Normal,Moderate (6-8%)
2013,Canada,North America,1857.0,,69.97,,,,7.68,Canada,,,,,,Normal,Moderate (6-8%)
2014,Canada,North America,2039.0000000000002,,70.39,,,,7.66,Canada,,,,,,Normal,Moderate (6-8%)
2015,Canada,North America,2104.0,39340.0,68.91,172600.0,,710000.0,7.63,Canada,,,24.309859154929576,97.05633802816901,710000.0,Normal,Moderate (6-8%)
2016,Canada,North America,2295.0,,62.74,,,,7.61,Canada,,,,,710000.0,Normal,Moderate (6-8%)
2017,Canada,North America,2651.0,,68.97,,,,7.63,Canada,,,,,710000.0,Normal,Moderate (6-8%)
2018,Canada,North America,2703.0,69985.0,78.79,,,,7.65,Canada,,,,,,Normal,Moderate (6-8%)
2019,Canada,North America,2836.0,85590.0,83.33,,,,6.51,Canada,,,,,,Normal,Moderate (6-8%)
2020,Canada,North America,2675.0,42875.0,83.15,,,1020000.0,7.86,Canada,,,,81.51960784313725,1020000.0,High,Moderate (6-8%)
2021,Canada,North America,3167.0,127945.0,89.38,,,,6.38,Canada,,,,,1020000.0,Normal,Moderate (6-8%)
2022,Canada,North America,3346.0,118250.0,111.22,,,,4.82,Canada,,,,,1020000.0,Normal,Low (<6%)
2023,Canada,North America,3638.0,139790.0,119.53,427000.0,,,4.17,Canada,,,,,,Normal,Low (<6%)
2024,Canada,North America,3910.0,127375.0,137.67,,,1280000.0,4.17,Canada,,,,107.5546875,1280000.0,High,Low (<6%)
2025,Canada,North America,,98825.0,,,,,4.22,Canada,,,,,1280000.0,Normal,Low (<6%)
2000,Germany,Europe,468.4,,12.88,,,,7.62,Germany,,,,,,Normal,Moderate (6-8%)
2001,Germany,Europe,485.44,,14.27,,,,7.61,Germany,,,,,,Normal,Moderate (6-8%)
2002,Germany,Europe,514.94,,15.74,,,,7.68,Germany,,,,,,Normal,Moderate (6-8%)
2003,Germany,Europe,607.7,,21.0,,,,7.63,Germany,,,,,,Normal,Moderate (6-8%)
2004,Germany,Europe,709.15,,18.75,,,,7.6,Germany,,,,,,Normal,Moderate (6-8%)
