Year,Destination_Country,Region,Column_Name,Value,Data_Type,Source_Name,Source_URL,Notes
2000,USA,North America,Total_Indian_Migrants,"1,005,000",real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Approx 1M Indian-born in USA ca. 2000 (Gibson & Jung 2006 / MPI)
2000,USA,North America,Permanent_Migrants,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
2000,USA,North America,Temporary_Workers,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
2000,USA,North America,Students,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
2000,USA,North America,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country"
2000,USA,North America,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate
2000,USA,North America,GDP_India,$468.40B,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD)
2000,Canada,North America,Total_Indian_Migrants,"217,000",real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Estimated Indian-born migrant stock in Canada
2000,Canada,North America,Permanent_Migrants,"26,122",real,IRCC Facts & Figures / StatCan,https://open.canada.ca/data/en/dataset/2fbb56bd-eae7-4582-af7d-a197d185fc93,
2000,Canada,North America,Temporary_Workers,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
2000,Canada,North America,Students,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
2000,Canada,North America,Remittance_USD_Billion,12.88,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=IN,"Total India inflows, NOT disaggregated by source country"
2000,Canada,North America,Unemployment_India,7.62,real,World Bank / ILOSTAT (modeled ILO estimate),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=IN,India national unemployment rate
2000,Canada,North America,GDP_India,$468.40B,real,World Bank World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=IN,India GDP (current USD)
2000,UK,Europe,Total_Indian_Migrants,"570,000",real,UN DESA International Migrant Stock,https://www.un.org/development/desa/pd/content/international-migrant-stock,Indian-born in UK
2000,UK,Europe,Permanent_Migrants,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
2000,UK,Europe,Temporary_Workers,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
2000,UK,Europe,Students,NOT AVAILABLE,real,,,No publicly sourced figure found for this cell
